driverId,days_since_last_trip,completed_deliveries_last_30_days,avg_rating_last_30_days,total_earnings_last_30_days,wallet_balance,tenure_in_days,churn
138,0,16,4.89,8977.62,1869.07,75,0
139,2,17,4.87,10390.59,499.0,540,0
140,18,12,4.73,7453.51,606.1,671,1
141,7,25,4.69,11604.87,283.76,1474,0
142,6,15,4.82,3786.96,709.74,345,1
143,3,19,4.87,10398.07,2117.38,436,1
144,26,6,4.59,2993.14,376.62,630,1
145,3,24,4.79,13312.56,1974.59,1489,0
146,17,9,4.66,6152.45,760.24,1284,1
147,22,5,4.64,2564.14,442.34,80,1
148,5,19,4.89,10961.45,2161.9,373,0
149,21,12,4.78,7178.54,134.96,1237,1
150,3,22,4.94,11957.83,265.78,115,0
151,9,25,4.68,13836.22,834.79,1287,1
152,1,18,4.8,6719.67,505.13,443,1
153,5,17,4.88,9165.47,1168.94,1378,0
154,2,20,4.95,10371.44,1114.7,461,0
155,0,18,4.81,11129.96,1041.45,668,0
156,0,24,4.89,14269.08,1422.74,1003,1
157,3,14,4.77,6896.57,913.47,215,0
158,6,16,4.84,6473.39,364.75,848,0
159,5,19,4.78,7658.04,0.0,772,0
160,3,21,4.86,13254.86,466.97,1182,0
161,33,0,4.81,259.49,156.99,1494,1
162,27,3,4.5,1549.38,0.0,1006,1
163,1,15,5.0,6667.69,1339.99,631,0
164,4,16,4.84,8766.86,485.08,627,1
165,8,17,4.95,9172.66,1678.36,644,1
166,12,13,4.87,8596.53,193.05,1226,1
167,4,13,4.73,6912.01,0.0,502,0
168,13,8,4.78,4623.65,190.64,275,1
169,1,23,4.78,11833.55,1102.1,521,0
170,3,14,4.83,8301.08,1164.14,63,1
171,12,13,4.63,8658.05,0.0,186,0
172,7,20,4.7,12009.13,1692.91,162,0
173,17,17,4.65,11598.87,1244.04,1164,1
174,0,19,4.84,11034.39,656.58,1091,0
175,1,24,4.87,9783.64,1157.58,1054,0
176,0,20,4.81,9086.76,1026.62,708,1
177,2,16,4.87,9351.05,1418.19,1084,0
178,0,30,4.96,15143.23,1830.81,267,0
179,5,13,4.85,7133.82,878.16,1353,0
180,6,11,4.82,5539.47,1500.22,766,1
181,9,12,4.81,7799.18,0.0,1408,1
182,4,20,4.74,12745.17,30.53,253,0
183,0,18,4.95,9259.36,1778.34,761,0
184,9,10,4.71,5060.75,0.0,1053,0
185,0,21,4.99,12969.25,2348.11,758,0
186,19,12,4.74,7833.32,1057.34,685,1
187,0,21,4.92,8365.24,35.16,274,0
188,6,18,4.86,10414.19,1948.06,590,1
189,22,7,4.66,4219.66,897.34,380,1
190,6,19,4.76,10566.57,1161.16,473,0
191,6,17,4.75,7644.13,738.31,1035,0
192,10,12,4.9,5864.69,1293.81,956,0
193,1,26,4.88,7377.96,0.0,922,0
194,9,17,4.71,8033.09,1342.56,561,0
195,20,12,4.72,4391.18,0.0,1440,1
196,31,0,4.6,842.89,198.4,158,1
197,5,20,4.81,11247.94,1047.89,533,0
198,3,21,4.79,8895.55,968.31,203,0
199,13,17,4.8,10446.36,2492.82,528,1
200,6,17,4.89,11364.67,0.0,1443,0
201,2,18,4.88,9919.7,1628.54,568,0
202,1,21,4.88,11932.8,1210.06,1365,1
203,1,22,4.82,8646.9,1045.89,757,0
204,5,11,4.86,6135.16,1073.44,1058,0
205,1,24,4.83,10224.3,1790.96,702,0
206,0,27,4.79,10627.88,1685.42,420,0
207,0,15,4.96,6214.43,252.6,1153,0
208,26,3,4.55,1754.87,359.76,1454,1
209,0,23,4.75,11903.63,1997.9,417,0
210,0,24,4.97,12395.76,1799.79,1174,0
211,5,21,4.71,9428.87,1522.44,413,0
212,2,18,4.83,9641.28,1148.78,1083,0
213,30,0,4.39,607.84,44.21,1189,1
214,24,6,4.59,3120.48,295.21,690,1
215,4,20,5.0,10066.53,702.0,1113,0
216,5,20,4.82,7935.79,898.95,430,0
217,4,30,4.87,14349.14,1045.15,146,0
218,0,17,4.94,9426.0,2417.61,171,0
219,3,27,4.8,15663.98,2165.27,687,0
220,1,18,4.95,7484.69,793.45,1356,0
221,1,21,4.9,9755.71,1258.62,217,0
222,6,21,4.87,10503.9,1476.86,699,1
223,1,23,4.82,14205.5,3914.17,1064,0
224,1,25,4.9,13869.9,1995.71,327,1
225,5,18,4.83,7720.39,564.17,1090,0
226,5,17,4.91,10147.59,270.7,479,0
227,1,27,4.83,16525.64,2017.62,1218,0
228,0,22,5.0,11746.88,3171.82,881,0
229,2,22,4.88,10108.47,975.6,833,0
230,2,22,4.85,12605.74,426.25,289,0
231,16,17,4.7,9323.48,1715.33,710,1
232,24,10,4.64,5442.28,661.9,1289,1
233,4,24,4.8,14230.1,0.0,58,1
234,4,17,4.89,9149.71,1142.42,1145,0
235,11,8,4.77,4428.99,943.58,754,1
236,7,18,4.95,10628.09,0.0,1087,1
237,2,16,4.83,8128.91,1338.63,1005,0
238,1,25,4.86,10737.56,53.23,665,0
239,4,18,4.81,9826.42,911.63,483,0
240,6,23,4.95,14884.2,969.75,952,0
241,1,18,4.77,6269.89,1271.5,236,1
242,3,35,4.86,19695.98,3616.32,888,0
243,3,15,4.87,7828.88,5.91,169,0
244,2,30,4.78,14838.38,0.0,985,0
245,5,24,5.0,11537.65,0.0,954,0
246,8,11,4.73,6869.01,1077.86,154,1
247,5,18,4.83,10229.83,0.0,1143,0
248,2,24,4.98,10732.74,576.73,641,1
249,1,18,4.84,10249.94,1919.74,1186,0
250,17,16,4.72,10218.86,1585.76,91,1
251,5,21,4.81,11877.15,0.0,293,1
252,0,18,4.88,7355.12,922.98,756,0
253,2,21,4.94,11985.34,401.02,306,0
254,16,14,4.69,6217.55,381.86,514,1
255,13,18,4.56,9601.18,572.67,1001,1
256,19,19,4.69,8782.15,657.68,242,1
257,6,18,4.82,9948.78,1017.07,1026,0
258,4,20,4.85,9339.8,473.42,182,0
259,4,21,4.83,9340.15,447.12,287,0
260,2,16,4.8,8741.12,1546.9,893,0
261,8,20,4.78,11000.44,1140.25,1196,0
262,6,16,4.94,9584.26,188.65,280,1
263,1,26,4.87,12617.62,1475.58,470,0
264,20,10,4.73,4336.73,0.0,1389,1
265,4,16,4.77,8910.21,1017.67,1484,1
266,0,13,4.86,8578.6,1274.34,884,0
267,3,17,4.78,8241.37,1450.65,687,1
268,19,11,4.78,6484.37,989.1,539,1
269,24,4,4.53,2392.23,113.46,930,0
270,5,30,4.86,19402.89,1148.9,898,0
271,29,4,4.61,2256.14,505.29,463,1
272,19,9,4.71,4803.61,429.86,63,1
273,17,13,4.55,5070.02,564.25,252,1
274,19,7,4.55,4917.52,810.43,1439,1
275,4,17,4.85,8749.63,2021.33,644,0
276,13,10,4.69,6567.2,683.8,738,1
277,6,21,4.78,9832.48,750.25,716,1
278,12,17,4.73,8815.04,2278.7,1180,1
279,2,28,4.79,12962.29,3357.57,125,0
280,12,15,4.67,7117.51,826.53,151,1
281,29,5,4.59,2640.94,340.05,435,1
282,3,16,4.72,8284.35,1503.04,745,1
283,33,0,4.46,469.04,185.6,1016,1
284,4,23,4.79,9051.63,1004.06,751,1
285,2,20,4.86,11069.54,1816.49,678,0
286,1,19,5.0,7256.61,386.23,1408,0
287,15,14,4.66,7105.94,1410.31,266,1
288,6,20,4.85,8178.0,1337.01,870,1
289,3,26,4.87,15386.26,2135.29,827,0
290,6,20,4.86,12734.98,1265.51,726,0
291,3,23,4.84,13151.96,726.28,1217,1
292,5,22,4.93,10485.19,0.0,422,1
293,19,12,4.74,6396.62,0.0,1432,1
294,9,14,4.84,7009.15,0.0,517,1
295,14,21,4.64,10991.58,2235.93,831,0
296,6,15,4.83,8501.58,487.8,795,1
297,33,0,4.26,476.3,74.01,1279,1
298,2,19,4.8,7171.25,727.26,675,0
299,2,23,4.82,13233.21,383.24,448,0
300,1,21,4.87,11883.41,903.29,61,0
301,6,17,4.85,7871.52,1246.59,564,1
302,6,12,4.89,5709.19,490.56,1244,0
303,12,16,4.83,8695.51,693.5,44,1
304,3,17,4.87,9700.28,1090.16,1347,0
305,0,24,4.88,10616.3,0.0,827,0
306,7,26,4.79,13383.57,1719.44,236,1
307,34,0,4.55,774.88,225.43,474,1
308,3,18,4.8,10569.72,864.67,844,0
309,2,19,4.83,9669.59,1096.42,494,0
310,3,15,4.87,5983.79,272.73,189,1
311,4,10,4.95,5715.54,333.61,1009,0
312,2,15,4.85,6058.12,1162.15,1018,1
313,3,25,4.79,11743.51,1376.44,204,1
314,8,18,4.87,7573.93,1223.63,443,0
315,3,18,4.71,10062.75,1295.77,388,0
316,4,29,4.91,12736.9,1159.45,999,0
317,0,19,4.78,10972.63,2232.24,1103,0
318,24,6,4.69,3011.16,0.0,1098,1
319,4,23,4.81,8542.54,421.75,1409,0
320,3,22,4.87,10755.18,817.94,1159,0
321,0,25,5.0,10506.76,1161.96,501,0
322,7,13,4.75,8335.55,704.46,188,1
323,19,11,4.62,5430.71,656.06,933,0
324,0,33,4.89,20019.91,4281.13,1376,0
325,1,22,4.98,11049.23,168.64,1463,0
326,1,16,4.88,8893.54,2073.86,368,0
327,6,20,4.82,9846.24,914.21,377,1
328,25,3,4.64,2588.54,388.96,84,1
329,4,17,4.77,8135.51,919.63,237,0
330,3,24,4.86,7210.69,930.66,845,0
331,14,10,4.71,5589.25,1175.86,833,0
332,13,11,4.84,4810.54,78.45,575,1
333,2,27,4.92,14278.12,672.1,485,0
334,1,23,4.78,11472.02,1838.08,1249,0
335,4,14,4.82,7077.14,341.61,706,0
336,14,14,4.78,7014.52,0.0,1218,1
337,10,20,4.71,10960.14,1736.14,1445,0
338,9,13,4.71,6767.36,333.38,496,0
339,17,13,4.68,6777.19,1233.43,328,1
340,3,23,4.87,11220.09,796.13,1430,1
341,3,20,4.92,12889.34,2556.31,963,0
342,0,24,4.9,14872.67,1915.57,457,0
343,19,15,4.86,6601.59,402.19,944,0
344,6,35,4.77,18189.66,100.14,787,0
345,3,16,4.9,7809.12,694.94,1361,1
346,0,14,4.8,6261.35,715.7,406,0
347,12,10,4.87,2739.29,192.31,1487,0
348,13,15,4.85,7496.99,5.58,1405,0
349,9,16,4.84,7878.53,721.27,295,0
350,2,34,4.74,21141.27,4777.5,271,0
351,24,10,4.69,6288.65,827.85,813,1
352,13,18,4.69,10415.86,564.52,96,0
353,9,17,4.82,10148.4,1210.12,469,1
354,8,15,4.7,8933.02,1401.55,669,0
355,23,4,4.67,2995.44,136.48,1454,1
356,26,15,4.6,9749.71,899.01,1488,1
357,6,16,4.77,6992.79,661.24,252,0
358,4,25,4.88,12173.07,979.08,1340,0
359,4,17,4.84,8481.28,52.49,163,0
360,17,12,4.7,6093.19,985.84,1130,1
361,8,14,4.85,7207.58,0.0,1273,1
362,0,24,5.0,15203.33,783.62,1339,0
363,1,19,4.89,11222.94,460.16,358,0
364,22,15,4.53,9239.86,610.21,1343,0
365,20,17,4.57,8941.48,1992.73,200,0
366,29,2,4.59,1378.48,186.64,792,1
367,4,19,4.91,10747.47,2109.08,720,0
368,15,15,4.74,8728.58,1028.01,494,1
369,17,6,4.75,4025.34,631.38,62,1
370,3,13,4.85,9104.96,747.05,1164,0
371,1,17,4.94,9675.14,1622.94,523,0
372,34,0,4.31,454.02,106.66,1002,1
373,0,19,4.81,9059.68,627.03,633,0
374,6,33,4.85,19152.41,1227.26,579,1
375,8,15,4.69,8757.73,215.4,1332,0
376,10,9,4.81,5762.6,637.16,168,1
377,2,20,4.84,11188.96,1987.94,1112,0
378,12,13,4.77,5911.23,531.85,1127,0
379,2,17,4.88,10777.45,438.15,588,0
380,17,12,4.73,7915.68,2124.57,415,1
381,2,29,4.96,14343.06,1062.94,37,0
382,11,14,4.77,7954.17,1329.57,1407,0
383,15,17,4.74,9369.49,999.27,1423,1
384,2,31,4.95,15357.87,2938.26,384,0
385,2,16,4.99,7259.38,735.61,76,0
386,15,11,4.73,6619.51,690.37,210,1
387,0,21,4.84,8564.34,849.87,129,0
388,2,27,4.83,12493.71,1090.32,1251,0
389,5,15,4.86,9767.7,1104.36,1341,0
390,26,7,4.61,4657.57,259.67,255,1
391,6,14,4.7,7854.84,1160.35,1127,0
392,4,15,4.92,7988.79,2602.89,293,1
393,32,0,4.74,608.3,85.54,569,1
394,5,13,4.91,7397.93,1010.31,911,1
395,4,19,4.93,10530.48,1103.2,1088,0
396,4,24,4.85,13788.86,207.5,1315,1
397,3,31,4.87,15060.82,2533.45,95,0
398,3,16,4.92,7982.67,602.34,318,0
399,10,11,4.69,6577.95,420.9,442,1
400,0,13,4.86,5637.93,1262.23,486,1
401,10,20,4.78,11591.24,939.46,1497,1
402,2,29,4.92,14825.93,2965.99,1172,0
403,4,12,4.8,7143.45,1079.55,501,1
404,1,25,4.82,17344.03,1961.03,1458,0
405,6,21,4.79,10660.42,1635.77,763,0
406,12,18,4.79,9658.72,1627.95,766,1
407,4,9,4.84,5007.38,522.89,667,1
408,1,15,4.77,5731.43,451.36,241,0
409,2,16,4.77,9163.81,1647.31,1403,0
410,17,15,4.72,5480.96,1867.48,50,1
411,3,21,4.86,12316.41,0.0,286,0
412,14,11,4.74,5380.64,140.61,367,1
413,3,17,4.82,7943.89,251.63,440,0
414,2,22,4.92,11341.12,919.58,223,0
415,12,18,4.79,7840.5,273.47,56,0
416,5,17,4.85,8696.69,1399.66,1026,1
417,0,22,4.91,9488.46,0.0,1454,0
418,30,0,4.36,556.47,78.46,209,1
419,1,24,4.8,12093.44,798.09,465,0
420,4,22,4.81,13491.0,2504.19,774,0
421,4,21,4.82,12304.2,1277.65,1393,0
422,5,15,4.92,7377.9,33.48,1050,1
423,15,13,4.7,6709.43,937.65,1156,1
424,0,21,4.82,10178.94,321.81,884,1
425,26,9,4.61,4063.46,77.04,643,1
426,8,22,4.81,9949.16,1977.57,323,1
427,28,5,4.68,3103.75,255.72,1300,1
428,16,10,4.69,4746.54,710.28,1212,1
429,26,5,4.57,3008.37,262.89,66,1
430,6,18,4.76,7963.08,1047.44,1081,1
431,4,15,4.82,9096.23,2008.29,154,0
432,5,21,5.0,11986.66,1389.0,1116,0
433,9,10,4.82,6793.39,554.98,1244,1
434,4,31,4.88,19042.1,0.0,222,0
435,12,23,4.76,10371.48,1880.14,667,0
436,1,24,4.88,11035.0,1564.66,211,0
437,17,6,4.77,3626.65,546.26,863,1
438,2,17,4.9,7691.58,795.36,1393,0
439,28,3,4.62,2196.52,498.76,148,1
440,1,19,4.87,9563.15,716.15,614,0
441,1,25,4.85,14503.68,2159.55,1460,0
442,16,12,4.75,7278.19,1863.4,472,1
443,17,10,4.72,5106.22,662.03,224,1
444,13,11,4.9,4393.54,420.97,748,1
445,30,0,4.35,409.66,121.08,777,1
446,3,19,4.8,9081.71,592.93,1004,0
447,17,14,4.63,7191.53,862.79,491,1
448,4,18,4.81,9232.27,2234.77,1434,1
449,6,22,4.74,12326.48,1737.63,795,0
450,5,29,4.8,13991.13,1718.63,451,0
451,0,35,4.81,14835.4,1717.07,1441,0
452,6,20,4.8,10943.05,0.0,1389,0
453,13,12,4.73,7691.03,810.24,763,1
454,1,24,4.88,12238.98,383.66,66,0
455,26,6,4.61,3545.34,853.28,907,1
456,6,15,4.76,6868.12,291.4,846,0
457,2,29,4.95,16030.93,0.0,247,1
458,8,20,4.83,11569.66,0.0,961,0
459,2,21,4.82,10792.86,479.77,1265,0
460,0,22,4.82,10083.88,0.0,185,0
461,10,14,4.68,7889.28,998.36,1093,1
462,1,23,4.76,12537.86,1578.42,236,0
463,1,20,4.94,10375.79,207.33,1130,0
464,13,17,4.82,7738.73,1397.37,646,1
465,0,26,4.84,13900.93,1265.74,39,0
466,16,9,4.82,4881.86,465.7,1450,1
467,15,18,4.77,10021.11,1767.53,273,1
468,1,19,4.88,9969.39,1980.4,906,0
469,5,18,4.89,11178.39,268.12,296,0
470,1,20,4.91,10788.32,0.0,1401,0
471,7,16,4.82,10189.55,762.73,1115,1
472,0,29,4.86,15270.69,3465.48,1212,0
473,28,4,4.59,2097.7,120.85,665,1
474,2,18,4.75,10500.4,1939.89,717,0
475,10,9,4.72,5017.67,215.59,962,0
476,1,19,5.0,9468.2,906.52,1183,0
477,2,19,4.8,11466.93,723.9,1275,0
478,5,19,4.7,8368.56,1122.53,56,1
479,6,25,4.88,9560.84,1149.35,1005,0
480,34,0,4.5,272.92,96.91,190,1
481,0,19,4.9,10178.33,680.46,453,0
482,0,23,4.87,13130.91,245.83,1249,1
483,3,21,4.91,11015.92,1370.38,398,0
484,4,16,4.95,5912.1,207.5,1201,1
485,20,10,4.64,4917.84,574.98,710,1
486,24,10,4.68,4381.62,631.94,371,1
487,20,10,4.76,3684.34,605.18,521,1
488,1,20,4.83,10163.81,1653.94,810,0
489,4,21,4.95,11904.62,1567.9,1154,0
490,13,17,4.83,10405.02,212.61,920,1
491,3,18,4.76,10218.83,399.91,1401,0
492,9,11,4.9,5338.29,224.18,1305,1
493,2,24,4.78,14593.87,1421.76,1137,0
494,3,15,4.8,7842.24,1556.28,916,0
495,19,10,4.74,5693.27,341.19,456,1
496,2,21,4.93,9778.77,851.29,636,1
497,30,0,4.53,602.68,200.92,204,1
498,3,22,4.81,10978.73,0.0,580,1
499,0,15,4.86,6175.63,1450.97,1391,0
500,2,18,4.83,10236.87,1603.63,656,0
501,1,25,4.93,13010.18,646.23,197,1
502,5,19,4.8,10970.25,857.74,988,0
503,1,24,4.82,11212.13,2725.47,1445,0
504,7,16,4.71,9057.05,625.39,1305,0
505,19,15,4.65,6457.57,1086.87,432,0
506,4,11,4.83,6672.02,1807.42,697,0
507,1,25,4.79,14241.04,1414.22,810,0
508,4,16,4.72,7122.45,768.5,394,0
509,15,16,4.8,9831.32,2780.45,424,0
510,6,28,4.75,18064.64,298.42,377,0
511,1,21,4.78,10219.58,1070.23,1492,0
512,6,17,4.93,10488.13,1524.19,1126,1
513,5,24,4.89,8986.17,0.0,1266,0
514,3,30,4.92,15012.21,147.38,1230,0
515,1,20,4.91,6570.19,432.32,1439,0
516,32,0,4.5,159.52,86.63,184,1
517,2,21,4.92,8548.49,644.89,1325,0
518,2,14,4.84,5115.95,558.37,127,0
519,1,27,4.8,14532.82,2459.39,728,0
520,6,13,4.73,8053.88,1268.63,903,1
521,5,18,4.82,9294.78,0.0,556,0
522,2,18,4.78,9657.59,1168.18,244,1
523,4,20,4.78,13071.82,1954.49,312,0
524,9,14,4.78,6768.5,685.07,1242,0
525,3,18,4.95,8305.7,1243.75,498,0
526,24,9,4.53,5741.32,1010.45,486,1
527,3,20,4.85,10775.65,1441.97,1387,1
528,2,16,4.77,10549.98,1054.32,241,1
529,29,1,4.55,756.39,150.59,1375,1
530,16,13,4.79,4960.38,0.0,1383,1
531,3,17,4.79,7133.18,1591.16,909,0
532,18,10,4.68,5966.78,1309.33,273,1
533,5,18,4.84,11361.85,2380.85,259,0
534,3,18,4.9,10976.56,1261.92,448,0
535,18,17,4.66,9891.17,1511.91,878,0
536,13,12,4.84,7115.45,912.21,255,1
537,3,16,4.82,7704.28,1055.7,699,1
538,6,15,4.85,6061.08,1364.29,199,0
539,4,25,4.83,9752.57,0.0,824,0
540,0,18,4.93,7482.32,1075.91,61,0
541,30,0,4.35,667.81,70.32,1072,1
542,6,22,4.8,9154.2,196.76,111,0
543,6,10,4.82,4962.38,509.62,316,0
544,6,13,4.79,7470.78,39.61,286,1
545,6,25,4.78,13544.33,99.34,1251,1
546,3,22,4.8,14123.19,0.0,108,0
547,31,0,4.46,281.66,109.94,661,1
548,7,9,4.76,5089.04,817.25,898,1
549,9,16,4.74,10262.13,1804.76,788,0
550,5,37,4.61,17424.7,4539.8,1030,0
551,3,25,4.95,12190.5,908.64,1210,0
552,0,19,5.0,12163.74,2040.48,608,0
553,3,20,4.9,9984.59,1218.8,1247,1
554,2,18,4.8,11489.42,1384.09,497,0
555,9,21,4.7,8976.57,1198.23,1477,0
556,20,8,4.57,5931.63,1037.36,771,1
557,3,14,4.89,8847.52,1274.51,1111,0
558,3,22,4.94,9837.15,751.22,1316,0
559,9,27,4.8,13542.51,2034.67,1195,0
560,1,19,4.93,8076.11,493.21,1281,0
561,26,10,4.65,5392.43,861.37,818,1
562,4,22,4.79,8810.23,1036.64,93,0
563,1,24,4.94,9211.11,0.0,754,0
564,1,22,4.94,9225.85,825.61,296,0
565,26,1,4.55,907.92,206.77,1337,1
566,2,15,4.92,6143.43,663.65,378,0
567,9,11,4.78,7201.03,896.24,365,1
568,1,26,4.85,15272.84,991.01,396,1
569,2,20,4.89,12886.18,1072.14,974,0
570,20,9,4.71,5256.35,1019.03,869,1
571,1,24,4.93,15464.94,1053.7,1424,0
572,0,20,4.82,8126.0,132.81,641,0
573,5,16,4.87,9980.19,0.0,444,1
574,19,19,4.61,14146.93,635.71,102,1
575,3,24,4.84,11888.55,194.1,40,1
576,1,21,4.86,10819.23,0.0,579,1
577,32,0,4.48,442.97,72.94,1390,1
578,10,15,4.78,8214.58,257.01,799,1
579,18,11,4.68,6148.54,149.95,1343,1
580,13,9,4.85,3762.6,892.33,179,1
581,11,17,4.74,9906.4,0.0,167,0
582,4,27,4.81,16105.63,2435.5,1255,0
583,3,18,4.72,8400.86,1229.18,186,1
